wnver::2.1
1740n 272402 ROOT
1930n 109750
2119n 162567
2236n 162567
2533n 5145
2819n 0
2929n 0
3037n 0
3122n 64786
3991n 25521
4359n 26237
4576n 26117
5816n 0
5959n 0
6085n 34
6216n 0
6300n 85
7127n 24994
7626n 24258
15024n 1196
16858n 575
18635n 2570
19102n 9318
20429n 1327
20846n 22904
21810n 119
22007n 66997
22178n 17442
22680n 203
23153n 24906
23591n 12158
25099n 1529
26074n 11781
26552n 779
26997n 852
27378n 51
27734n 0
27841n 0
28105n 49352
28404n 5507
29085n 34669
29714n 25216
30334n 10601
31026n 5694
31236n 36
31433n 16838
32028n 17943
32604n 3623
32870n 279
32965n 13
33168n 0
33330n 0
33580n 2028
34088n 0
34282n 0
34452n 0
34733n 0
34896n 1393
35417n 2
35501n 0
35611n 3
35807n 9745
36532n 0
36619n 226
36930n 0
37220n 0
37378n 51
37568n 2
37654n 32
37902n 0
38097n 0
38273n 0
38347n 2
38509n 2
38777n 0
38902n 0
39161n 1
39319n 0
39545n 10
39825n 0
39971n 0
40097n 0
40256n 80
40668n 31
40898n 0
41114n 35
41469n 0
41548n 66
41944n 5
42237n 67
42485n 450
42790n 27
43008n 0
43235n 1
43449n 0
43585n 494
43981n 1
44242n 19
44512n 16
44668n 21
44846n 38
45342n 1
45430n 26
45680n 2
45874n 3
46069n 75
46265n 0
46375n 0
46549n 9
46698n 34
46980n 1
47152n 4
47327n 23
47668n 1
47854n 1
47960n 1
48113n 0
48233n 0
48361n 8
48519n 1
48808n 0
49017n 0
49211n 0
49401n 0
49516n 7
49709n 0
49849n 1
50036n 0
50221n 0
50376n 0
50470n 0
50658n 0
50824n 0
51115n 0
51344n 0
51421n 2
51729n 0
51849n 0
51933n 4
52130n 0
52236n 10
52585n 1
52740n 0
52909n 1
53126n 0
53315n 0
53403n 4
53721n 0
53881n 0
54020n 0
54175n 1
54399n 1
54639n 0
54776n 0
55000n 3
55250n 0
55394n 0
55574n 0
55763n 1
55854n 0
56110n 0
56355n 0
56445n 2
56627n 0
56716n 0
56851n 16
57235n 4
57484n 0
57660n 3
57836n 1
58003n 1
58097n 0
58309n 0
58522n 1
58656n 0
58855n 0
58925n 0
59122n 1
59279n 0
59398n 4
59561n 0
59706n 3
59900n 0
60025n 0
60241n 1
60439n 0
60559n 2
60779n 0
60914n 442
61122n 163
61418n 0
61667n 2
61760n 274
62126n 1
62259n 0
62459n 0
62574n 1
62859n 1
63149n 0
63267n 1
63387n 1
63469n 0
63626n 0
63906n 4
64126n 3
64267n 430
64448n 3
64687n 340
64952n 0
65204n 0
65305n 0
65448n 1
65559n 316
65701n 1
65976n 1
66156n 0
66319n 1
66603n 0
66741n 1
66887n 1
67046n 0
67159n 0
67430n 0
67590n 0
67671n 0
67801n 0
67904n 0
68063n 0
68201n 0
68349n 0
68448n 0
68627n 0
68775n 0
68933n 81
69514n 0
69668n 0
69832n 0
70036n 3
70229n 0
70441n 0
70659n 0
70776n 2
71000n 0
71145n 0
71493n 0
71681n 0
71796n 1
72060n 0
72292n 0
72492n 3
72592n 5
72758n 8
73251n 0
73402n 0
73549n 0
73721n 1
73843n 1
74003n 0
74127n 4
74254n 0
74324n 0
74494n 0
74815n 4
75100n 0
75180n 0
75350n 64
75787n 0
75912n 0
76130n 0
76306n 1
76413n 0
76698n 0
76895n 19
77089n 0
77275n 2
77480n 0
77629n 0
77785n 0
77973n 0
78119n 0
78351n 0
78496n 0
78620n 0
78845n 0
79051n 0
79272n 0
79449n 11
79713n 8
79958n 0
80100n 0
80224n 0
80402n 0
80631n 0
80747n 19
81137n 0
81325n 0
81462n 2
81606n 8
81852n 1
82015n 1
82286n 0
82539n 0
82685n 0
82863n 0
83076n 0
83322n 0
83473n 0
83784n 0
83941n 0
84191n 0
84298n 0
84453n 1
84773n 0
84918n 0
85123n 33
85363n 27
85549n 0
85854n 0
86067n 1
86181n 10
86425n 5
86727n 2
86934n 0
87051n 4
87357n 0
87591n 0
87776n 0
87953n 4
88093n 0
88310n 0
88479n 0
88713n 0
88934n 0
89104n 0
89203n 0
89370n 0
89479n 0
89593n 2
89677n 0
89912n 0
90066n 0
90363n 1
90547n 0
90713n 0
90834n 0
91061n 0
91190n 17
91581n 0
91708n 12
91951n 0
92211n 0
92499n 1
92665n 0
92832n 0
93040n 0
93213n 11
93584n 0
93682n 0
93922n 0
94054n 0
94224n 0
94431n 0
94562n 0
94680n 0
94833n 0
94955n 0
95059n 1
95215n 231
95616n 0
95744n 5
95984n 20
96181n 0
96298n 0
96420n 0
96626n 0
96798n 0
96947n 0
97158n 0
97310n 1
97612n 20
97796n 0
97902n 4
98248n 0
98362n 0
98550n 11
98769n 0
98929n 0
99067n 0
99168n 0
99398n 0
99521n 0
99733n 1
99816n 2
100138n 0
100286n 0
100499n 7
100650n 1
100778n 7
100949n 7
101096n 0
101193n 10
101447n 1
101608n 1
101768n 0
101891n 118
102326n 0
102514n 0
102621n 0
102829n 0
102974n 0
103170n 2
103454n 0
103622n 111
104076n 0
104238n 0
104366n 1
104487n 0
104629n 0
104750n 0
104901n 0
105034n 0
105225n 1
105429n 0
105529n 2
105775n 1
105893n 0
106013n 0
106166n 0
106313n 0
106429n 0
106575n 0
106762n 101
107119n 1
107240n 2
107405n 0
107763n 0
107870n 0
108061n 0
108150n 0
108280n 0
108538n 0
108674n 0
108819n 0
108976n 0
109155n 0
109278n 0
109388n 0
109501n 0
109628n 12
109990n 1
110144n 1
110313n 0
110429n 6
110866n 0
111060n 0
111288n 0
111429n 0
111632n 0
111765n 9
112205n 0
112370n 2
112626n 1
112834n 1
113001n 0
113137n 0
113342n 0
113456n 0
